level,date,state_fips,state_postal_code,county_fips,county_name,population_staying_at_home,population_not_staying_at_home,number_of_trips,number_of_trips_<1,number_of_trips_1-3,number_of_trips_3-5,number_of_trips_5-10,number_of_trips_10-25,number_of_trips_25-50,number_of_trips_50-100,number_of_trips_100-250,number_of_trips_250-500,number_of_trips_>=500,row_id,week,month
County,2019-02-04,06,CA,06083,Santa Barbara County,90181,356318,1605100,537355,449579,191381,179646,127148,74675,31033,11363,1785,1135,06-06083-20190204,5,2
County,2019-02-05,06,CA,06083,Santa Barbara County,93782,352717,1576083,501438,451375,187132,183122,132786,76147,30434,10503,1735,1411,06-06083-20190205,5,2
County,2019-02-06,06,CA,06083,Santa Barbara County,91423,355076,1591086,478730,469831,190377,186904,137749,75286,36153,12555,1934,1567,06-06083-20190206,5,2
County,2019-02-07,06,CA,06083,Santa Barbara County,89951,356548,1611601,470723,463559,204211,188816,147080,84160,35952,13313,2221,1566,06-06083-20190207,5,2
County,2019-02-08,06,CA,06083,Santa Barbara County,87706,358793,1591140,466175,454489,197229,198052,138692,83193,36468,13153,2063,1626,06-06083-20190208,5,2
County,2019-02-09,06,CA,06083,Santa Barbara County,92428,354071,1587499,478262,448025,193832,185432,141586,85259,38163,13556,1934,1450,06-06083-20190209,5,2
County,2019-02-10,06,CA,06083,Santa Barbara County,94376,352123,1474461,424087,435474,181892,169612,134145,77757,34736,13153,1961,1644,06-06083-20190210,6,2
County,2019-02-11,06,CA,06083,Santa Barbara County,90081,356418,1550218,454782,441687,192691,182973,144819,79738,36815,13057,1989,1667,06-06083-20190211,6,2
County,2019-02-12,06,CA,06083,Santa Barbara County,88561,357938,1550430,464165,434314,190023,189489,141789,80384,34443,12188,1959,1676,06-06083-20190212,6,2
County,2019-02-13,06,CA,06083,Santa Barbara County,87789,358710,1611434,524582,445707,192848,183918,136551,80122,32233,11978,2068,1427,06-06083-20190213,6,2
County,2019-02-14,06,CA,06083,Santa Barbara County,86055,360444,1587777,480569,444529,200041,189293,141302,80456,34541,13191,2132,1723,06-06083-20190214,6,2
County,2019-02-15,06,CA,06083,Santa Barbara County,87791,358708,1604220,478500,453361,203866,183646,144444,86119,36218,14270,2154,1642,06-06083-20190215,6,2
